Island,lon,lat
OUFI,-157.045,20.4205
OUFI,-157.052,20.4142
OUFI,-157.053,20.4242
OUFI,-157.054,20.4339
OUFI,-157.06,20.4368
OUFI,-157.065,20.4353
OUFI,-157.096,20.4459
OUFI,-157.103,20.4482
OUFI,-157.108,20.4493
OUFI,-157.108,20.4538
OUFI,-157.106,20.4587
OUFI,-157.109,20.4631
OUFI,-157.112,20.4677
OUFI,-157.117,20.4714
OUFI,-157.122,20.475
OUFI,-157.127,20.4778
OUFI,-157.133,20.4798
OUFI,-157.138,20.476
OUFI,-157.143,20.4729
OUFI,-157.146,20.4779
OUFI,-157.144,20.492
OUFI,-157.153,20.5118
OUFI,-157.151,20.5204
OUFI,-157.149,20.5313
OUFI,-157.152,20.5413
OUFI,-157.15,20.5472
OUFI,-157.157,20.5639
OUFI,-157.146,20.58
OUFI,-157.145,20.5851
OUFI,-157.141,20.5966
OUFI,-157.143,20.6036
OUFI,-157.145,20.6091
OUFI,-157.146,20.6303
OUFI,-157.147,20.6416
OUFI,-157.149,20.6528
OUFI,-157.149,20.6638
OUFI,-157.151,20.6755
OUFI,-157.152,20.6806
OUFI,-157.158,20.6945
OUFI,-157.158,20.7064
OUFI,-157.153,20.7253
OUFI,-157.151,20.7305
OUFI,-157.143,20.738
OUFI,-157.139,20.7489
OUFI,-157.139,20.7544
OUFI,-157.14,20.7629
OUFI,-157.138,20.7685
OUFI,-157.132,20.7684
OUFI,-157.13,20.7642
OUFI,-157.128,20.749
OUFI,-157.129,20.7546
OUFI,-157.124,20.7557
OUFI,-157.121,20.7597
OUFI,-157.121,20.767
OUFI,-157.121,20.7727
OUFI,-157.123,20.7772
OUFI,-157.124,20.7824
OUFI,-157.121,20.7871
OUFI,-157.125,20.7923
OUFI,-157.132,20.7931
OUFI,-157.134,20.7979
OUFI,-157.137,20.8038
OUFI,-157.138,20.8087
OUFI,-157.14,20.8137
OUFI,-157.144,20.8175
OUFI,-157.148,20.8207
OUFI,-157.153,20.8225
